Origin,Destination,Vehicle Type,Distance (km),Weather Conditions,Traffic Conditions,Shipment_Duration,Actual_Duration
4,6,2,1414,1,2,4,9
9,7,2,1261,1,2,4,10
1,6,0,1555,2,2,5,11
7,4,1,467,0,1,1,1
9,3,3,1195,0,1,3,3
8,4,3,556,1,2,1,6
2,6,2,1218,0,1,4,4
8,5,0,927,0,1,3,3
0,9,0,1419,0,1,4,6
8,9,2,1598,1,1,5,7
5,6,0,498,3,1,1,4
0,6,0,541,0,2,1,2
4,8,3,1712,0,1,5,5
1,9,1,1080,0,2,3,6
6,1,2,521,0,1,1,1
4,3,0,320,0,1,1,5
9,8,0,384,0,1,1,3
7,4,2,706,0,1,2,2
0,1,1,797,0,1,2,2
3,2,2,1219,0,1,4,9
2,0,1,952,0,2,3,4
4,6,2,1809,0,0,6,8
2,4,3,1539,2,1,5,6
9,4,1,332,0,2,1,2
5,9,0,843,0,1,2,6
4,9,1,1503,0,1,5,5
0,3,3,896,0,2,2,3
5,2,0,1965,2,2,6,13
5,0,3,423,0,0,3,1
5,7,1,441,0,1,1,4
0,7,0,853,0,2,2,3
7,9,3,1539,2,2,5,7
9,2,3,1794,0,0,5,9
2,0,2,829,0,2,2,3
8,2,2,940,0,1,3,6
7,6,0,319,0,1,1,1
7,8,2,1189,0,1,3,3
5,2,0,632,0,2,2,3
1,3,1,875,0,2,2,3
6,2,1,1026,2,1,3,4
9,5,3,403,0,0,1,3
0,1,1,498,1,1,1,3
9,1,1,1595,0,2,5,6
4,3,2,1406,1,0,4,8
1,7,2,334,0,0,1,3
2,9,1,1914,0,2,6,7
4,8,0,1040,1,0,3,7
7,6,2,1745,2,1,5,6
4,2,2,740,0,2,2,3
0,3,1,1840,0,1,6,6
4,3,0,468,0,1,1,1
6,5,2,1505,0,2,5,8
7,2,1,1069,0,1,3,3
8,1,3,622,0,1,2,2
9,3,0,928,0,1,3,3
6,9,1,657,1,1,2,4
9,8,2,405,2,1,1,2
2,4,3,1800,0,1,6,6
8,5,0,889,0,2,2,8
3,7,1,513,0,1,1,1
7,3,0,441,0,2,1,2
6,8,0,522,0,1,1,3
3,1,1,1987,0,0,6,13
7,1,1,1141,0,2,3,4
2,5,3,336,0,1,1,1
4,6,1,827,3,2,2,11
9,6,1,1899,0,1,6,6
8,7,1,1662,3,1,5,8
1,9,3,553,0,2,1,2
3,6,3,1756,0,1,5,5
9,4,0,1984,0,2,6,7
3,2,3,366,0,1,1,1
9,4,1,599,0,2,1,2
4,7,2,1158,0,2,3,4
7,4,0,840,0,1,2,7
3,1,0,1520,0,1,5,5
9,5,3,1156,0,2,3,4
5,4,1,943,0,1,3,3
7,9,3,1785,0,1,5,5
7,5,1,1813,0,1,6,11
0,7,3,855,0,2,2,3
2,8,3,404,0,1,1,1
8,3,2,1149,2,1,3,4
6,9,3,1158,0,1,3,3
4,8,0,1788,0,2,6,5
1,5,1,1823,2,1,6,7
6,4,2,1609,1,1,5,7
9,7,1,1593,0,2,5,6
2,7,1,1500,0,0,5,7
0,4,3,1609,0,1,5,5
9,0,0,830,1,1,2,4
9,7,3,1225,0,1,4,4
6,1,1,433,2,1,1,4
9,5,3,1247,0,2,4,8
7,5,3,1676,0,1,5,5
9,4,1,582,0,2,1,6
4,6,2,840,0,2,2,3
6,7,3,1581,0,1,5,5
0,1,3,1117,0,2,3,4
3,6,2,952,0,1,3,3
5,3,1,904,2,2,3,5
9,4,2,879,0,1,2,6
0,2,3,384,2,1,1,2
5,3,2,1983,0,1,6,6
4,7,3,1317,0,1,4,4
6,7,2,1882,0,2,6,7
4,2,0,1071,0,1,3,3
6,3,1,589,2,0,1,4
4,5,2,575,0,0,5,1
0,3,3,1936,0,1,6,6
6,9,0,244,0,2,1,2
2,0,1,1613,0,1,5,5
6,3,0,208,2,1,1,6
9,2,0,993,1,2,3,10
1,3,0,1769,2,0,5,11
2,5,1,1323,0,2,4,5
1,5,1,1973,0,0,6,8
5,3,3,1897,1,2,6,11
0,1,1,261,0,2,1,6
7,1,1,1821,3,1,6,9
0,1,0,1001,2,2,3,7
4,7,2,1624,3,2,5,9
4,9,0,1318,1,0,4,8
0,3,0,946,2,2,3,10
3,5,1,802,0,1,2,2
9,7,3,327,0,1,1,1
0,6,2,796,2,2,2,4
1,4,0,1118,1,1,3,5
8,3,2,1952,2,1,6,12
4,2,1,698,0,0,2,9
2,3,0,481,2,1,1,2
5,1,0,1139,2,1,3,4
7,0,0,1275,0,1,4,4
4,7,3,1016,2,2,3,5
2,3,0,1495,0,2,4,10
7,3,1,1456,1,1,4,6
6,7,2,475,2,1,1,2
5,6,1,1042,0,2,3,7
8,2,1,1581,0,0,5,7
0,3,1,358,2,1,1,5
4,3,0,1479,0,2,4,5
7,1,1,1156,0,1,3,3
2,9,1,954,0,2,3,4
2,4,0,1997,0,1,6,6
5,4,0,857,1,1,2,4
2,0,1,1932,0,1,6,6
5,9,2,1852,1,1,6,8
8,1,0,1342,2,0,4,10
3,7,2,1402,0,1,4,4
0,8,3,345,0,0,1,5
2,6,1,1642,0,2,5,6
4,6,0,1182,0,0,3,5
3,5,3,1097,2,0,3,9
7,4,1,1785,0,1,5,5
0,7,1,1321,0,1,4,8
6,8,0,1899,0,1,6,6
1,8,3,1346,0,0,4,11
0,3,2,506,0,2,1,2
1,7,3,293,0,2,1,2
7,3,1,728,0,1,2,7
1,9,2,1345,2,2,4,6
6,2,3,566,0,1,1,1
3,7,2,437,2,2,1,3
7,8,3,1628,0,1,5,5
2,6,0,1831,1,2,6,9
8,7,3,661,0,1,2,2
6,5,3,1813,0,1,6,11
4,7,0,1945,0,2,6,7
5,3,3,1051,0,0,3,5
5,6,2,328,0,2,1,2
4,0,1,358,2,0,1,4
9,3,3,1736,0,1,5,5
6,9,1,803,2,0,2,5
6,7,3,370,0,1,1,1
9,5,3,429,0,2,1,7
9,8,0,307,0,2,1,2
5,1,0,630,0,2,2,3
1,9,3,317,0,1,1,1
1,6,2,812,0,2,2,3
8,2,3,734,1,2,2,5
4,1,3,1777,0,0,5,7
1,3,2,1120,0,1,3,5
6,3,0,1381,0,1,4,9
8,9,3,1825,0,2,6,12
0,4,0,1891,2,2,6,8
9,4,0,742,0,1,2,5
3,9,0,512,2,1,1,2
